Port,TCP,UDP,SCTP,DCCP,Description,type
366,Yes,Yes,,,On-Demand Mail Relay (ODMR),well_known
369,Yes,Yes,,,Rpc2portmap,well_known
370,Yes,Yes,,,"codaauth2, Coda authentication server",well_known
371,Yes,Yes,,,ClearCase albd,well_known
376,Yes,Yes,,,Amiga Envoy Network Inquiry Protocol,well_known
383,Yes,Yes,,,HP data alarm manager,well_known
384,Yes,Yes,,,A Remote Network Server System,well_known
387,Yes,Yes,,,AURP (AppleTalk Update-based Routing Protocol)[83],well_known
388,Yes,Assigned,,,Unidata LDM near real-time data distribution protocol[84][self-published source][85][self-published source],well_known
389,Yes,Assigned,,,Lightweight Directory Access Protocol (LDAP)[11],well_known
399,Yes,Yes,,,Digital Equipment Corporation DECnet+ (Phase V) over TCP/IP (RFC1859),well_known
401,Yes,Yes,,,Uninterruptible power supply (UPS),well_known
427,Yes,Yes,,,Service Location Protocol (SLP)[11],well_known
433,Yes,Yes,,,"NNTP, part of Network News Transfer Protocol",well_known
434,Yes,Yes,,,Mobile IP Agent (RFC 5944),well_known
443,Yes,Yes,Yes[12],,"Hypertext Transfer Protocol Secure (HTTPS)[48][49] uses TCP in versions 1.x and 2. HTTP/3 uses QUIC,[50] a transport protocol on top of UDP.",well_known
444,Yes,Yes,,,"Simple Network Paging Protocol (SNPP), RFC 1568",well_known
445,Yes,Yes,,,"Microsoft-DS (Directory Services) Active Directory,[86] Windows shares",well_known
464,Yes,Yes,,,Kerberos Change/Set password,well_known
465,Yes,No,,,SMTP over implicit SSL (obsolete)[87],well_known
475,Yes,Yes,,,"tcpnethaspsrv, Aladdin Knowledge Systems Hasp services",well_known
476,Unofficial,Unofficial,,,Centro Software ERP ports,well_known
477,Unofficial,Unofficial,,,Centro Software ERP ports,well_known
478,Unofficial,Unofficial,,,Centro Software ERP ports,well_known
479,Unofficial,Unofficial,,,Centro Software ERP ports,well_known
480,Unofficial,Unofficial,,,Centro Software ERP ports,well_known
481,Unofficial,Unofficial,,,Centro Software ERP ports,well_known
482,Unofficial,Unofficial,,,Centro Software ERP ports,well_known
483,Unofficial,Unofficial,,,Centro Software ERP ports,well_known
484,Unofficial,Unofficial,,,Centro Software ERP ports,well_known
485,Unofficial,Unofficial,,,Centro Software ERP ports,well_known
486,Unofficial,Unofficial,,,Centro Software ERP ports,well_known
487,Unofficial,Unofficial,,,Centro Software ERP ports,well_known
488,Unofficial,Unofficial,,,Centro Software ERP ports,well_known
489,Unofficial,Unofficial,,,Centro Software ERP ports,well_known
490,Unofficial,Unofficial,,,Centro Software ERP ports,well_known
491,Unofficial,,,,GO-Global remote access and application publishing software,well_known
497,Yes,Yes,,,Retrospect,well_known
500,Assigned,Yes,,,Internet Security Association and Key Management Protocol (ISAKMP) / Internet Key Exchange (IKE)[11],well_known
502,Yes,Yes,,,Modbus Protocol,well_known
504,Yes,Yes,,,"Citadel, multiservice protocol for dedicated clients for the Citadel groupware system",well_known
510,Yes,Yes,,,"FirstClass Protocol (FCP), used by FirstClass client/server groupware system",well_known
512,Yes,,,,"Rexec, Remote Process Execution",well_known
513,Yes,,,,rlogin,well_known
514,Unofficial,,,,"Remote Shell, used to execute non-interactive commands on a remote system (Remote Shell, rsh, remsh)",well_known
515,Yes,Assigned,,,"Line Printer Daemon (LPD),[11] print service",well_known
517,,Yes,,,Talk,well_known
518,,Yes,,,NTalk,well_known
520,Yes,,,,"efs, extended file name server",well_known
521,,Yes,,,Routing Information Protocol Next Generation (RIPng),well_known
524,Yes,Yes,,,"NetWare Core Protocol (NCP) is used for a variety things such as access to primary NetWare server resources, Time Synchronization, etc.",well_known
525,,Yes,,,"Timed, Timeserver",well_known
530,Yes,Yes,,,Remote procedure call (RPC),well_known
532,Yes,Assigned,,,netnews[11],well_known
533,,Yes,,,"netwall, for emergency broadcasts",well_known
540,Yes,,,,Unix-to-Unix Copy Protocol (UUCP),well_known
542,Yes,Yes,,,commerce (Commerce Applications),well_known
543,Yes,,,,"klogin, Kerberos login",well_known
544,Yes,,,,"kshell, Kerberos Remote shell",well_known
546,Yes,Yes,,,DHCPv6 client,well_known
547,Yes,Yes,,,DHCPv6 server,well_known
548,Yes,Assigned,,,Apple Filing Protocol (AFP) over TCP[11],well_known
550,Yes,Yes,,,"new-rwho, new-who[90]",well_known
554,Yes,Yes,,,Real Time Streaming Protocol (RTSP)[11],well_known
556,Yes,,,,"Remotefs, RFS, rfs_server",well_known
560,,Yes,,,"rmonitor, Remote Monitor",well_known
561,,Yes,,,monitor,well_known
563,Yes,Yes,,,NNTP over TLS/SSL (NNTPS),well_known
564,Unofficial,,,,9P (Plan 9),well_known
585,No,No,,,"Previously assigned for use of Internet Message Access Protocol over TLS/SSL (IMAPS), now deregistered in favour of port 993.[91]",well_known
587,Yes,Assigned,,,email message submission[11][92] (SMTP),well_known
591,Yes,,,,"FileMaker 6.0 (and later) Web Sharing (HTTP Alternate, also see port 80)",well_known
593,Yes,Yes,,,"HTTP RPC Ep Map, Remote procedure call over Hypertext Transfer Protocol, often used by Distributed Component Object Model services and Microsoft Exchange Server",well_known
601,Yes,,,,Reliable Syslog Service — used for system logging,well_known
604,Yes,,,,"TUNNEL profile,[93] a protocol for BEEP peers to form an application layer tunnel",well_known
623,,Yes,,,ASF Remote Management and Control Protocol (ASF-RMCP) & IPMI Remote Management Protocol,well_known
625,Unofficial,No,,,Open Directory Proxy (ODProxy)[11],well_known
631,Yes,Yes,,,Internet Printing Protocol (IPP)[11],well_known
635,Yes,Yes,,,RLZ DBase,well_known
636,Yes,Assigned,,,Lightweight Directory Access Protocol over TLS/SSL (LDAPS)[11],well_known
639,Yes,Yes,,,"Multicast Source Discovery Protocol, MSDP",well_known
641,Yes,Yes,,,"SupportSoft Nexus Remote Command (control/listening), a proxy gateway connecting remote control traffic",well_known
643,Yes,Yes,,,SANity,well_known
646,Yes,Yes,,,"Label Distribution Protocol (LDP), a routing protocol used in MPLS networks",well_known
647,Yes,,,,DHCP Failover protocol[94],well_known
648,Yes,,,,Registry Registrar Protocol (RRP)[95],well_known
651,Yes,Yes,,,IEEE-MMS,well_known
653,Yes,Yes,,,"SupportSoft Nexus Remote Command (data), a proxy gateway connecting remote control traffic",well_known
654,Yes,,,,Media Management System (MMS) Media Management Protocol (MMP)[96],well_known
655,Yes,Yes,,,Tinc VPN daemon,well_known
657,Yes,Yes,,,"IBM RMC (Remote monitoring and Control) protocol, used by System p5 AIX Integrated Virtualization Manager (IVM)[97] and Hardware Management Console to connect managed logical partitions (LPAR) to enable dynamic partition reconfiguration",well_known
660,Yes,Assigned,,,"macOS Server administration,[2] version 10.4 and earlier[11]",well_known
666,Yes,Yes,,,"Doom, the first online first-person shooter",well_known
674,Yes,,,,Application Configuration Access Protocol (ACAP),well_known
684,Yes,Yes,,,CORBA IIOP SSL[98],well_known
688,Yes,Yes,,,REALM-RUSD (ApplianceWare Server Appliance Management Protocol),well_known
690,Yes,Yes,,,Velneo Application Transfer Protocol (VATP),well_known
691,Yes,,,,MS Exchange Routing,well_known
694,Yes,Yes,,,Linux-HA high-availability heartbeat,well_known
695,Yes,,,,IEEE Media Management System over SSL (IEEE-MMS-SSL)[99],well_known
698,,Yes,,,Optimized Link State Routing (OLSR),well_known
700,Yes,,,,"Extensible Provisioning Protocol (EPP), a protocol for communication between domain name registries and registrars (RFC 5734)",well_known
701,Yes,,,,"Link Management Protocol (LMP),[100] a protocol that runs between a pair of nodes and is used to manage traffic engineering (TE) links",well_known
702,Yes,,,,IRIS[101][102] (Internet Registry Information Service) over BEEP (Blocks Extensible Exchange Protocol)[103] (RFC 3983),well_known
706,Yes,,,,Secure Internet Live Conferencing (SILC),well_known
711,Yes,,,,Cisco Tag Distribution Protocol[104][105][106]—being replaced by the MPLS Label Distribution Protocol[107],well_known
712,Yes,,,,Topology Broadcast based on Reverse-Path Forwarding routing protocol (TBRPF; RFC 3684),well_known
749,Yes,Yes,,,Kerberos administration[11],well_known
750,,Yes,,,"kerberos-iv, Kerberos version IV",well_known
751,Unofficial,Unofficial,,,"kerberos_master, Kerberos authentication",well_known
752,,Unofficial,,,"passwd_server, Kerberos password (kpasswd) server",well_known
753,Yes,Yes,,,Reverse Routing Header (RRH)[108],well_known
754,Yes,Yes,,,tell send,well_known
760,Unofficial,Unofficial,,,"krbupdate [kreg], Kerberos registration",well_known
782,Unofficial,,,,Conserver serial-console management server,well_known
783,Unofficial,,,,SpamAssassin spamd daemon,well_known
800,Yes,Yes,,,mdbs-daemon,well_known
802,Yes,Yes,,,MODBUS/TCP Security[109],well_known
808,Unofficial,,,,Microsoft Net.TCP Port Sharing Service,well_known
829,Yes,Assigned,,,Certificate Management Protocol[110],well_known
830,Yes,Yes,,,NETCONF over SSH,well_known
831,Yes,Yes,,,NETCONF over BEEP,well_known
832,Yes,Yes,,,NETCONF for SOAP over HTTPS,well_known
833,Yes,Yes,,,NETCONF for SOAP over BEEP,well_known
843,Unofficial,,,,Adobe Flash[111],well_known
847,Yes,,,,DHCP Failover protocol,well_known
848,Yes,Yes,,,Group Domain Of Interpretation (GDOI) protocol,well_known
853,Yes,,,,DNS over TLS (RFC 7858),well_known
860,Yes,,,,iSCSI (RFC 3720),well_known
861,Yes,Yes,,,OWAMP control (RFC 4656),well_known
862,Yes,Yes,,,TWAMP control (RFC 5357),well_known
873,Yes,,,,rsync file synchronization protocol,well_known
888,Unofficial,,,,"cddbp, CD DataBase (CDDB) protocol (CDDBP)",well_known
897,Unofficial,Unofficial,,,Brocade SMI-S RPC,well_known
898,Unofficial,Unofficial,,,Brocade SMI-S RPC SSL,well_known
902,Unofficial,Unofficial,,,VMware ESXi[113][114],well_known
903,Unofficial,,,,VMware ESXi[113][114],well_known
953,Yes,Reserved,,,BIND remote name daemon control (RNDC)[115][116],well_known
981,Unofficial,,,,Remote HTTPS management for firewall devices running embedded Check Point VPN-1 software[117],well_known
987,,Unofficial,,,Sony PlayStation Wake On Lan,well_known
988,Unofficial,,,,Lustre (file system)[119] Protocol (data).,well_known
